Word                     Count
==============================
a                        689
abide                    2  
about                    92 
above                    3  
absurd                   1  
accept                   1  
acceptance               1  
accepted                 1  
accepting                1  
access                   10 
accessible               1  
accident                 1  
accidentally             1  
accordance               2  
account                  1  
accounting               1  
accounts                 1  
accustomed               1  
across                   5  
act                      1  
active                   2  
actually                 1  
added                    23 
addition                 1  
additional               4  
additions                1  
address                  1  
addressed                2  
addressing               1  
adoption                 1  
advance                  1  
advantage                2  
adventures               8  
advice                   3  
advisable                1  
advise                   1  
affectionately           1  
afford                   1  
afore                    1  
afraid                   9  
afresh                   1  
after                    40 
afternoon                1  
again                    16 
against                  11 
age                      2  
agent                    1  
ago                      1  
agony                    1  
agree                    11 
agreed                   1  
agreement                9  
air                      2  
alarm                    2  
alarmed                  1  
alas                     1  
alice                    226
alive                    1  
all                      175
allow                    3  
almost                   8  
alone                    3  
along                    5  
already                  2  
also                     3  
alternate                1  
alternately              1  
altogether               1  
always                   12 
am                       13 
among                    12 
an                       63 
ancient                  1  
and                      856
anger                    1  
angrily                  4  
angry                    4  
animal                   1  
animals                  3  
another                  22 
answer                   6  
answered                 3  
anxious                  2  
anxiously                13 
any                      72 
anyone                   4  
anything                 17 
anywhere                 3  
apiece                   1  
apostrophe               1  
appealed                 1  
appear                   2  
appearance               1  
appeared                 3  
appearing                2  
applicable               3  
apply                    1  
approach                 1  
arch                     1  
archbishop               2  
arches                   3  
archive                  13 
are                      63 
argued                   1  
argument                 4  
arguments                1  
arise                    1  
arm                      7  
arms                     6  
around                   2  
array                    1  
arthur                   1  
as                       258
ashamed                  2  
ask                      7  
asked                    9  
asking                   4  
asleep                   4  
assembled                2  
assistance               1  
associated               7  
at                       219
ate                      1  
atheling                 1  
atom                     2  
attached                 1  
attempt                  2  
attempted                1  
attended                 1  
attending                2  
attends                  1  
austin                   2  
authority                2  
avail                    1  
available                2  
avoid                    1  
away                     18 
awfully                  1  
baby                     7  
back                     30 
backs                    1  
bad                      1  
baked                    1  
balanced                 1  
ballantyne               2  
balls                    1  
banquet                  1  
bark                     2  
barking                  1  
barrowful                2  
based                    3  
bathing                  1  
bats                     1  
bawled                   1  
be                       160
beat                     4  
beating                  1  
beautiful                8  
beautifully              2  
beautify                 1  
became                   2  
because                  13 
become                   6  
beds                     1  
been                     36 
before                   21 
beg                      8  
began                    46 
begged                   1  
begin                    8  
beginning                12 
begins                   3  
begun                    6  
beheading                1  
behind                   12 
being                    19 
believe                  9  
believed                 1  
belong                   1  
belongs                  2  
beloved                  1  
below                    1  
belt                     1  
bend                     1  
beneath                  2  
bent                     1  
besides                  1  
best                     7  
better                   11 
between                  6  
bill                     2  
bird                     2  
birds                    7  
birthday                 1  
bit                      9  
blades                   1  
blame                    1  
blasts                   2  
blew                     2  
blow                     2  
blown                    1  
blows                    1  
blue                     1  
body                     2  
bone                     1  
bones                    1  
book                     3  
boots                    3  
bore                     1  
both                     17 
bother                   1  
bottle                   7  
bottom                   4  
bough                    1  
bound                    3  
bowed                    3  
bowing                   1  
box                      3  
boxed                    1  
branch                   1  
branches                 1  
brass                    1  
brave                    1  
breach                   2  
break                    1  
breath                   3  
breathe                  1  
breeze                   1  
bright                   7  
brightened               2  
bring                    2  
bringing                 3  
bristling                1  
broke                    2  
broken                   5  
brought                  3  
brown                    1  
brushing                 1  
burn                     2  
burning                  1  
burst                    1  
bursting                 1  
busily                   4  
business                 3  
busy                     2  
but                      122
butter                   1  
buttercup                1  
buttered                 1  
by                       87 
cakes                    1  
calculate                1  
calculated               1  
call                     5  
called                   16 
calling                  1  
came                     40 
camomile                 1  
can                      39 
canary                   1  
candle                   2  
cannot                   5  
canvas                   1  
capering                 1  
capital                  4  
card                     1  
care                     4  
cares                    2  
carried                  6  
carroll                  2  
carry                    2  
carrying                 2  
case                     4  
cat                      16 
catch                    3  
catching                 2  
caterpillar              11 
cats                     9  
cattle                   1  
caught                   3  
cauldron                 2  
cause                    3  
caused                   2  
cautiously               2  
cease                    1  
centre                   1  
certain                  4  
certainly                8  
chance                   4  
chanced                  1  
change                   9  
changed                  13 
changes                  2  
changing                 2  
chapter                  12 
charge                   6  
charges                  1  
charitable               1  
charities                1  
chat                     1  
cheap                    1  
cheated                  1  
check                    2  
checked                  3  
cheerfully               1  
cheshire                 6  
chief                    2  
child                    3  
childish                 1  
children                 6  
chimney                  2  
chimneys                 1  
chin                     4  
choke                    1  
choked                   3  
choking                  1  
choose                   1  
choosing                 1  
chorus                   3  
chose                    1  
civil                    2  
claim                    1  
clamour                  1  
clapping                 1  
clasped                  1  
classical                1  
claws                    1  
clean                    1  
clear                    2  
cleared                  1  
clearer                  1  
clearly                  1  
clever                   1  
climb                    1  
clinging                 1  
clock                    1  
close                    14 
closed                   2  
closely                  1  
closer                   1  
closing                  1  
coast                    1  
coaxing                  1  
codes                    1  
cold                     1  
collected                2  
collection               3  
colon                    1  
colourtype               1  
come                     26 
comes                    3  
comfits                  1  
comfortably              1  
coming                   6  
commercial               1  
committed                1  
common                   1  
commotion                1  
company                  2  
compilation              1  
complained               1  
complaining              1  
compliance               4  
comply                   6  
complying                3  
computer                 2  
computers                1  
concept                  2  
concerning               2  
concert                  1  
concluded                2  
conclusion               1  
conduct                  1  
confirmation             1  
confirmed                1  
confused                 3  
confusing                2  
confusion                3  
consented                1  
consider                 2  
considerable             2  
considered               3  
considering              3  
constant                 3  
consultation             1  
contact                  4  
contain                  2  
containing               1  
contemptuous             1  
content                  1  
contents                 1  
continued                5  
contract                 1  
contradicted             1  
contributions            2  
conversation             4  
conversations            1  
convert                  1  
cook                     8  
cool                     2  
copied                   2  
copies                   7  
copy                     8  
copying                  2  
copyright                13 
corner                   1  
corporation              1  
corrupt                  1  
cost                     3  
costs                    2  
could                    65 
counting                 1  
countries                1  
country                  3  
courage                  1  
course                   11 
court                    5  
crab                     1  
crash                    1  
crashed                  1  
crawled                  1  
crawling                 1  
created                  2  
creating                 4  
creation                 1  
creature                 2  
creatures                6  
credit                   1  
creep                    1  
crept                    1  
cried                    18 
cries                    1  
crimson                  2  
critical                 1  
crocodile                1  
croquet                  3  
croqueted                1  
croqueting               1  
crossed                  3  
crouched                 1  
crowd                    4  
crowded                  7  
crown                    2  
cruel                    1  
crumbs                   1  
cry                      3  
crying                   2  
cup                      1  
cupboards                2  
curious                  16 
curiouser                1  
curled                   2  
curls                    1  
curly                    1  
current                  1  
curtain                  1  
curtsey                  1  
curving                  1  
cushion                  1  
custody                  2  
cut                      5  
cute                     1  
dainties                 1  
damage                   1  
damaged                  1  
damages                  2  
dance                    2  
dancing                  1  
dare                     4  
daresay                  2  
dark                     3  
darkness                 1  
date                     2  
dates                    1  
day                      11 
days                     6  
dead                     5  
deal                     11 
dear                     6  
dears                    1  
decided                  3  
decidedly                1  
declare                  1  
declared                 1  
deductible               1  
deeds                    1  
deep                     5  
deepest                  1  
deeply                   1  
defect                   3  
defective                2  
deft                     1  
delay                    1  
deletions                1  
delight                  1  
delighted                2  
delightful               2  
demand                   1  
demn                     1  
denied                   1  
denies                   1  
deny                     2  
denying                  1  
depends                  2  
derivative               3  
derive                   1  
derived                  1  
described                1  
deserved                 1  
despair                  1  
desperate                1  
despite                  1  
destroy                  2  
detach                   1  
determine                1  
did                      49 
died                     1  
different                5  
difficult                2  
difficulty               3  
dig                      1  
digging                  3  
digital                  1  
diligently               1  
dinah                    4  
dinn                     1  
dipped                   2  
directed                 2  
direction                2  
directions               1  
directly                 1  
director                 1  
disagree                 1  
disappointment           1  
disclaim                 1  
disclaimer               3  
disclaimers              1  
discontinue              1  
discover                 1  
discovered               1  
disgust                  1  
dish                     3  
dishes                   1  
disk                     1  
displaying               2  
dispute                  2  
distance                 1  
distant                  2  
distribute               6  
distributed              4  
distributing             6  
distribution             6  
distributor              1  
dive                     1  
do                       68 
dobson                   2  
dodged                   1  
dodo                     9  
does                     5  
dog                      2  
dogs                     1  
doing                    5  
domain                   8  
donate                   1  
donation                 1  
donations                14 
done                     10 
donors                   1  
door                     16 
doors                    2  
dormouse                 23 
doth                     3  
double                   2  
doubling                 1  
doubt                    1  
doubtful                 2  
down                     82 
dozing                   1  
draggled                 1  
drained                  1  
draw                     4  
drawing                  1  
dreadful                 1  
dreadfully               6  
dream                    3  
dreamed                  1  
dreaming                 1  
dreams                   1  
dreamy                   2  
drew                     8  
dried                    1  
driest                   1  
drink                    4  
dripping                 1  
drive                    1  
drop                     1  
dropped                  4  
dropping                 1  
drowned                  1  
drunk                    2  
dry                      7  
duchess                  15 
duck                     2  
dull                     2  
during                   1  
each                     8  
eager                    3  
eagerly                  3  
eaglet                   1  
ear                      2  
earls                    2  
ears                     4  
earth                    1  
easily                   4  
easy                     2  
eat                      16 
eaten                    1  
eating                   1  
eats                     1  
ebook                    6  
ebooks                   3  
edgar                    1  
edge                     3  
edict                    1  
editions                 3  
educational              1  
edwin                    1  
eel                      1  
effect                   1  
effort                   1  
efforts                  2  
eggs                     1  
ein                      1  
either                   7  
elbow                    2  
elbows                   1  
elect                    1  
electronic               27 
electronically           1  
elegant                  1  
eleventh                 1  
else                     8  
email                    3  
emmy                     1  
employee                 1  
employees                2  
encourage                1  
encouraged               1  
encouraging              2  
end                      16 
ending                   1  
energetic                1  
engaged                  2  
england                  2  
english                  1  
engraved                 1  
enjoy                    1  
enormous                 1  
enough                   10 
ensuring                 1  
entangled                2  
entirely                 2  
entity                   3  
entrance                 1  
equipment                1  
escape                   1  
especially               1  
est                      1  
even                     20 
events                   1  
ever                     16 
every                    12 
everybody                6  
everything               9  
evidence                 4  
evidently                1  
exact                    1  
exactly                  6  
examining                1  
excellent                2  
except                   6  
exclaimed                4  
exclamation              1  
exclusion                1  
execute                  1  
executed                 3  
executes                 1  
executioner              3  
executions               2  
executive                1  
exempt                   2  
exists                   1  
expecting                3  
expend                   1  
expense                  1  
experiment               1  
explain                  8  
explanation              1  
exporting                1  
express                  1  
expressing               1  
expression               1  
extent                   1  
extraordinary            2  
extremely                1  
eye                      4  
eyes                     18 
face                     11 
faces                    2  
fact                     2  
fading                   1  
faint                    1  
fainting                 1  
faintly                  2  
fair                     1  
fall                     6  
fallen                   4  
falling                  2  
familiarly               1  
family                   1  
fan                      8  
fancied                  2  
fancy                    5  
fancying                 1  
fanned                   1  
fanning                  1  
far                      9  
farther                  1  
fast                     4  
faster                   1  
father                   4  
favoured                 1  
favourite                1  
fear                     4  
feared                   1  
feather                  1  
federal                  2  
fee                      8  
feeble                   1  
feebly                   1  
feel                     8  
feeling                  6  
feelings                 1  
fees                     2  
feet                     11 
fell                     6  
fellows                  1  
felt                     23 
ferrets                  1  
fetch                    5  
few                      10 
field                    1  
fifteen                  1  
fifth                    1  
fight                    2  
fighting                 1  
figure                   1  
file                     3  
files                    2  
filled                   3  
fills                    1  
financial                1  
find                     20 
finding                  3  
finds                    1  
fine                     2  
finger                   3  
finish                   4  
finished                 6  
finishes                 1  
finishing                1  
fireplace                1  
first                    31 
fish                     2  
fishes                   1  
fitness                  1  
five                     2  
fix                      2  
fixed                    1  
flame                    1  
flamingo                 2  
flapper                  1  
flashed                  1  
flashes                  1  
flat                     1  
flavour                  1  
flew                     3  
flinging                 1  
flock                    1  
florida                  1  
flowers                  3  
flown                    1  
flung                    1  
flurry                   1  
flustered                1  
fluttered                1  
fly                      1  
flying                   3  
folded                   1  
folding                  1  
follow                   2  
followed                 8  
following                3  
fond                     3  
foolish                  1  
foot                     6  
footman                  7  
footsteps                1  
for                      159
forehead                 2  
forepaws                 1  
forget                   2  
forgetting               3  
forgot                   2  
forgotten                6  
fork                     1  
form                     2  
format                   4  
formats                  2  
forth                    9  
forwards                 1  
found                    31 
foundation               14 
four                     6  
free                     7  
freely                   4  
french                   3  
friend                   2  
friendly                 1  
friends                  2  
fright                   1  
frighten                 1  
frightened               7  
frog                     1  
from                     54 
front                    2  
frowning                 3  
full                     20 
fumbled                  1  
fun                      1  
funny                    3  
fur                      2  
furious                  1  
furrow                   1  
further                  2  
future                   3  
gain                     1  
gained                   1  
gallons                  1  
game                     6  
games                    1  
garden                   4  
gardeners                4  
gather                   1  
gave                     15 
gay                      1  
gazing                   1  
general                  6  
generally                5  
generations              1  
generously               1  
gentle                   1  
gentler                  1  
gently                   3  
get                      43 
getting                  21 
girl                     3  
girls                    3  
give                     13 
given                    2  
giving                   2  
glad                     11 
glanced                  1  
glaring                  1  
glass                    4  
globe                    1  
gloves                   5  
go                       40 
goals                    1  
goes                     7  
going                    25 
golden                   8  
gone                     8  
good                     23 
got                      45 
govern                   1  
graceful                 1  
grand                    2  
grant                    1  
granted                  1  
grass                    2  
gratefully               1  
grave                    3  
grazed                   1  
great                    37 
green                    3  
gregory                  1  
grew                     2  
grey                     1  
grin                     1  
grinned                  2  
grinning                 1  
grins                    1  
gross                    1  
ground                   2  
group                    1  
grow                     13 
growing                  6  
growl                    1  
growled                  1  
growls                   1  
grown                    7  
grunted                  5  
gryphon                  20 
guard                    1  
guess                    2  
guessed                  3  
guests                   2  
gutenberg                21 
had                      177
hair                     5  
half                     22 
hall                     1  
hammered                 1  
hand                     12 
handed                   3  
hands                    7  
handsome                 1  
hanging                  3  
happen                   5  
happened                 3  
happens                  2  
happy                    2  
hard                     9  
hardly                   12 
hare                     16 
harm                     1  
harmless                 1  
hart                     1  
has                      12 
hastily                  8  
hatching                 1  
hate                     1  
hatter                   24 
hatters                  1  
have                     78 
having                   10 
he                       107
head                     28 
heads                    8  
heap                     1  
hear                     15 
heard                    29 
hearing                  3  
heart                    2  
hearth                   1  
hearts                   1  
heavy                    2  
hedgehog                 6  
hedgehogs                1  
heels                    1  
height                   4  
held                     4  
help                     11 
helped                   1  
helpless                 1  
hentschel                1  
her                      211
here                     19 
hers                     3  
